"","year","admin2","iso","date","household","individual","male","female","infant","child","youth","adult","elderly","admin2pop","percent_adult","individual_norm"
"191",2016,"KARU","NGA",Aug 2016,466,2572,1101,1471,105,277,498,1640,52,NA,51.4150816569066,NA
"192",2016,"WARJI","NGA",Dec 2016,84,516,270,246,42,113,181,164,16,NA,51.4150816569066,NA
"193",2016,"GULANI","NGA",Nov 2016,519,3374,1328,2046,386,381,431,1992,184,2462016.16959457,51.4150816569066,0.00137042154380148
"194",2016,"NGANZAI","NGA",Aug 2016,107,625,278,347,40,119,191,218,57,2493695.5293492,51.4150816569066,0.000250632040938499
"195",2016,"DAMATURU","NGA",Mar 2016,3171,6767,3016,3751,294,1009,2504,2617,343,1984821.33559198,51.4150816569066,0.00340937487856142
"196",2016,"KATAGUM","NGA",Nov 2016,559,3286,1404,1882,195,559,1277,1182,73,NA,51.4150816569066,NA
"197",2016,"KATAGUM","NGA",Dec 2016,553,3267,1393,1874,199,558,1270,1137,103,NA,51.4150816569066,NA
"198",2016,"BALI","NGA",Jan 2016,60,276,130,146,17,63,45,121,30,NA,51.4150816569066,NA
"199",2016,"BALI","NGA",Mar 2016,18,73,38,35,3,19,13,27,11,NA,51.4150816569066,NA
"200",2016,"BALI","NGA",Aug 2016,9,47,23,24,2,13,10,16,6,NA,51.4150816569066,NA
"201",2016,"BALI","NGA",Oct 2016,9,47,23,24,2,13,10,16,6,NA,51.4150816569066,NA
"202",2016,"BALI","NGA",Nov 2016,448,2200,1075,1125,78,673,599,813,37,NA,51.4150816569066,NA
"203",2016,"BALI","NGA",Dec 2016,444,2185,1070,1115,77,671,597,803,37,NA,51.4150816569066,NA
"204",2016,"KIRFI","NGA",Nov 2016,66,466,216,250,32,78,155,186,15,NA,51.4150816569066,NA
"205",2016,"CHIBOK","NGA",Oct 2016,40,200,75,125,21,54,40,70,15,2309320.18535738,51.4150816569066,8.66055739122417e-05
"206",2016,"GASSOL","NGA",Jan 2016,57,392,194,198,29,79,109,141,34,NA,51.4150816569066,NA
"207",2016,"GASSOL","NGA",Mar 2016,43,287,135,152,8,32,88,123,36,NA,51.4150816569066,NA
"208",2016,"GASSOL","NGA",Aug 2016,53,324,127,197,26,56,82,125,35,NA,51.4150816569066,NA
"209",2016,"GASSOL","NGA",Oct 2016,53,416,189,227,39,68,92,173,44,NA,51.4150816569066,NA
"210",2016,"GASSOL","NGA",Nov 2016,1256,6120,2759,3361,195,527,2045,2981,372,NA,51.4150816569066,NA
"211",2016,"GASSOL","NGA",Dec 2016,1252,6102,2753,3349,193,524,2044,2970,371,NA,51.4150816569066,NA
"212",2016,"KONDUGA","NGA",Oct 2016,10981,62067,23409,38658,3805,12115,19977,22729,3441,2039364.08189473,51.4150816569066,0.0304344871771669
